p,p2,distance,pos_p_x,pos_p_y,pos_p_z,pos_p2_x,pos_p2_y,pos_p2_z
19421,19423,0.0000330224,-0.45496663175822016,0.9107941760652725,-0.8707977521424088,-0.45498274088278573,0.9107727299897824,-0.8708291277997847
19379,19381,0.0000331286,-0.45464082619066004,0.9112712732726456,-0.8701622758505583,-0.4546569955273123,0.9112497914044888,-0.8701937707590138
19211,19213,0.0000335590,-0.45332466385657,0.9131871495801303,-0.867594750565933,-0.45334107722732125,0.9131655235376112,-0.8676267288201652
19181,19183,0.0000336368,-0.45308743400126694,0.9135305367576526,-0.8671319062141426,-0.45310389149326996,0.913508884799696,-0.8671639718625086
19139,19141,0.0000337462,-0.4527541803324535,0.9140119264644504,-0.8664816829343218,-0.452770699874831,0.9139902381377983,-0.8665138714931117
19079,19081,0.0000339035,-0.45227580008348445,0.9147009400659244,-0.8655482311754382,-0.45229240884147615,0.9146791996071789,-0.8655805964597139
18917,18919,0.0000343342,-0.45097048310016263,0.9165690372860081,-0.8630008017360088,-0.4509873361544034,0.9165471550246866,-0.8630336509760673
18911,18913,0.0000343503,-0.45092175055763467,0.9166384445222501,-0.8629056851967771,-0.4509386127568403,0.9166165569794991,-0.8629385525541532
18539,18541,0.0000353742,-0.44784500690850587,0.9209724787759984,-0.8568988878379372,-0.44786245005231423,0.9209502596170311,-0.8569329062586815
18521,18523,0.0000354250,-0.4476933223687082,0.921183738491771,-0.8566026711261592,-0.4477107943358174,0.9211615030767881,-0.8566367466634298
18311,18313,0.0000360263,-0.44590399750557486,0.9236591149243792,-0.8531078429180917,-0.4459218107824444,0.923636688402416,-0.8531425948475577
18287,18289,0.0000360961,-0.4456971701657678,0.923943273636402,-0.8527038123738145,-0.44571502304927757,0.9239208251021439,-0.8527386427997834
18251,18253,0.0000362011,-0.4453860210986325,0.924369998191114,-0.8520959676899484,-0.44540393362652814,0.9243475165720338,-0.8521309163275564
18131,18133,0.0000365549,-0.44434092466596997,0.9257966436586328,-0.8500541031662971,-0.444359038062166,0.9257740511791467,-0.850089449932977
18119,18121,0.0000365906,-0.44423573875733086,0.9259396672645855,-0.8498485769454505,-0.44425387241589037,0.9259170636499874,-0.8498839638746531
18059,18061,0.0000367699,-0.4437079490392521,0.9266557680162874,-0.8488172604709654,-0.4437261844938968,0.9266331085917273,-0.8488528491773453
18047,18049,0.0000368059,-0.44360201766407276,0.9267991850148708,-0.8486102573240959,-0.4436202735752824,0.9267765144013839,-0.8486458865798099
18041,18043,0.0000368239,-0.4435490051347754,0.926870918155473,-0.8485066629454102,-0.4435672712864931,0.9268482419441493,-0.8485423125001434
17987,17989,0.0000369869,-0.4430704825854101,0.9275172566377555,-0.847571520360237,-0.4430888412700628,0.9274945299445674,-0.8476073533398841
17957,17959,0.0000370779,-0.4428035357957845,0.9278769102472929,-0.8470498154210983,-0.4428219461757032,0.9278541554296406,-0.847085750877296
17921,17923,0.0000371876,-0.4424821560298457,0.9283090394965163,-0.8464217017191925,-0.4425006287176787,0.9282862508548371,-0.8464577606922457
17909,17911,0.0000372243,-0.4423747755551043,0.9284532148693629,-0.8462118274406457,-0.4423932690788828,0.9284304149348748,-0.8462479277187314
17837,17839,0.0000374457,-0.44172781246441495,0.9293196591952855,-0.8449472710803727,-0.4417464317087281,0.9292967913130454,-0.8449836205927468
17789,17791,0.0000375944,-0.44129393588322385,0.9298986177375242,-0.844099145386714,-0.44131263961794825,0.9298757043744419,-0.8441356624033571
17747,17749,0.0000377254,-0.4409125963460021,0.9304060811852051,-0.8433536717094978,-0.44093137445835295,0.9303831279063002,-0.8433903361858723
